tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
190,5,200,Skiing-v0,-1055.0,-934.0,-997.31120332,0.82172898511,9
191,5,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
192,5,200,Frostbite-v0,0.0,80.0,29.2888888889,0.649259259259,10
193,5,200,RoadRunner-v0,0.0,400.0,107.359307359,0.475228475228,53
194,5,200,DoubleDunk-v0,-2.0,2.0,-0.286885245902,0.757741347905,16
195,5,200,Alien-v0,0.0,140.0,107.982832618,0.759101924031,10
196,5,200,TimePilot-v0,0.0,200.0,7.65957446809,0.0643026004728,9
197,5,200,Atlantis-v0,0.0,200.0,4.2194092827,0.0187529301453,10
198,5,200,MsPacman-v0,40.0,160.0,68.7068965517,0.509472115794,8
199,5,200,MsPacman-v0,60.0,440.0,74.2978723404,0.0864632652928,8
200,5,200,Frostbite-v0,0.0,80.0,32.085106383,0.70780141844,10
201,5,200,TimePilot-v0,0.0,200.0,14.1078838174,0.121715076072,9
202,5,200,Skiing-v0,-1050.0,-934.0,-997.510548523,0.799459041516,73
203,5,200,Kangaroo-v0,0.0,0.0,0.0,0.0,40
204,5,200,Atlantis-v0,0.0,200.0,4.38596491228,0.0194931773879,34
205,5,200,DoubleDunk-v0,-2.0,2.0,-0.15652173913,0.815458937198,32
206,5,200,RoadRunner-v0,0.0,400.0,76.1061946903,0.33726647001,53
207,5,200,Alien-v0,0.0,210.0,112.212389381,0.814239560131,32
208,5,200,TimePilot-v0,0.0,200.0,7.58928571429,0.0634920634921,9
209,5,200,RoadRunner-v0,0.0,400.0,103.056768559,0.457059679767,53
210,5,200,DoubleDunk-v0,-3.0,2.0,-0.24358974359,0.896030389364,32
211,5,200,Atlantis-v0,0.0,400.0,8.47457627119,0.030131826742,15
212,5,200,Alien-v0,0.0,210.0,107.25,0.801864449483,40
213,5,200,Skiing-v0,-1063.0,-934.0,-997.095238095,0.857303161732,73
214,5,200,Frostbite-v0,0.0,80.0,29.1845493562,0.644730567477,10
215,5,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
216,5,200,MsPacman-v0,50.0,440.0,71.6,0.131308025097,8
217,5,200,MsPacman-v0,50.0,440.0,75.5411255411,0.152751332239,8
218,5,200,RoadRunner-v0,0.0,1200.0,76.5217391304,0.143317230274,21
219,5,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
220,5,200,TimePilot-v0,0.0,200.0,23.4042553191,0.200472813239,9
221,5,200,DoubleDunk-v0,-2.0,0.0,-0.119658119658,0.835707502374,32
222,5,200,Frostbite-v0,0.0,40.0,25.4468085106,0.568321513002,9
223,5,200,Atlantis-v0,0.0,200.0,2.54237288136,0.0112994350282,15
224,5,200,Alien-v0,0.0,210.0,115.25210084,0.85065137166,40
225,5,200,Skiing-v0,-1043.0,-934.0,-997.556451613,0.748102675306,73
226,6,500,MsPacman-v0,50.0,450.0,133.975409836,0.366088342441,28
227,6,500,Alien-v0,0.0,150.0,113.632653061,0.804571428571,13
228,6,500,Jamesbond-v0,0.0,100.0,1.38888888889,0.021164021164,71
229,6,500,Asteroids-v0,0.0,530.0,83.8955823293,0.356039243402,82
230,6,500,Frostbite-v0,0.0,80.0,54.9382716049,0.61442615455,53
231,6,500,Skiing-v0,-2608.0,-2415.0,-2494.74089069,0.913195965723,9
232,6,500,PrivateEye-v0,-934.0,0.0,-242.079365079,0.728992062469,21
233,6,500,DoubleDunk-v0,-2.0,0.0,-0.0650406504065,0.859981933153,6
234,6,500,RoadRunner-v0,0.0,1400.0,253.781512605,0.368071037939,13
235,6,500,MsPacman-v0,60.0,270.0,105.390946502,0.330321307002,14
236,6,500,PrivateEye-v0,-969.0,0.0,-232.674897119,0.744528867746,9
237,6,500,RoadRunner-v0,0.0,1300.0,285.655737705,0.447699421218,10
238,6,500,DoubleDunk-v0,-8.0,0.0,-0.198347107438,0.878787878788,6
239,6,500,Alien-v0,0.0,140.0,110.041322314,0.775472723525,6
240,6,500,Skiing-v0,-2594.0,-2395.0,-2495.22083333,0.840831834587,10
241,6,500,Asteroids-v0,0.0,340.0,68.4337349398,0.419745880871,28
242,6,500,Frostbite-v0,0.0,160.0,56.8032786885,0.626423041894,11
243,6,500,Jamesbond-v0,0.0,100.0,2.52100840336,0.0373482726424,51
244,6,500,Skiing-v0,-2584.0,-2418.0,-2496.11304348,0.860734504282,10
245,6,500,RoadRunner-v0,0.0,1500.0,206.382978723,0.280392960336,12
246,6,500,Jamesbond-v0,0.0,50.0,2.94117647059,0.0522875816993,11
247,6,500,Asteroids-v0,0.0,630.0,121.673469388,0.391521365412,10
248,6,500,Alien-v0,0.0,140.0,100.331950207,0.741506007659,6
249,6,500,Frostbite-v0,0.0,120.0,49.1803278689,0.607569317952,11
250,6,500,PrivateEye-v0,-1000.0,100.0,-243.311740891,0.791646686965,57
251,6,500,MsPacman-v0,60.0,210.0,109.591836735,0.35270143613,10
252,6,500,DoubleDunk-v0,-6.0,0.0,-0.408,0.880592592593,3
253,6,500,MsPacman-v0,60.0,840.0,145.102040816,0.242246642247,28
254,6,500,Frostbite-v0,0.0,80.0,49.0163934426,0.54781420765,11
255,6,500,PrivateEye-v0,-1000.0,0.0,-306.604081633,0.714106615873,3
256,6,500,Asteroids-v0,0.0,460.0,101.111111111,0.447144957542,16
257,6,500,Skiing-v0,-2584.0,-2408.0,-2495.59504132,0.835791707458,22
258,6,500,DoubleDunk-v0,-6.0,0.0,-0.173553719008,0.892561983471,3
259,6,500,RoadRunner-v0,0.0,1300.0,264.0,0.387534516765,9
260,6,500,Alien-v0,0.0,140.0,94.04,0.690648526077,3
261,6,500,Jamesbond-v0,0.0,100.0,3.33333333333,0.0555555555556,17
262,6,500,PrivateEye-v0,-941.0,100.0,-337.414937759,0.695062847006,22
263,6,500,Alien-v0,0.0,270.0,88.9121338912,0.589822324003,10
264,6,500,Asteroids-v0,0.0,430.0,79.0416666667,0.395663321515,25
265,6,500,DoubleDunk-v0,-2.0,2.0,-0.103004291845,0.839294229852,3
266,6,500,MsPacman-v0,60.0,1640.0,140.172413793,0.118603893054,21
267,6,500,Jamesbond-v0,0.0,50.0,1.27659574468,0.022695035461,9
268,6,500,RoadRunner-v0,0.0,1500.0,185.407725322,0.260842473375,39
269,6,500,Skiing-v0,-2574.0,-2401.0,-2494.48333333,0.799777250604,19
