tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
18,4,212,500,BattleZone-v0,0.0,10000.0,109.96563573883161,0.02333715158457426,6,751,582,2403
18,4,213,500,Bowling-v0,0.0,26.0,0.10824742268041238,0.007609390638732431,6,751,582,530
18,4,214,500,BankHeist-v0,0.0,70.0,0.8934707903780069,0.026681004589693833,6,751,582,2500
18,4,215,500,Centipede-v0,0.0,4700.0,928.7800687285223,0.4099456184918829,11,751,582,1879
18,4,216,500,Asteroids-v0,0.0,1080.0,108.6082474226804,0.2166375714874582,6,751,582,692
19,4,217,500,DoubleDunk-v0,-8.0,2.0,-0.4181184668989547,0.977963608207509,6,750,574,190
19,4,218,500,Boxing-v0,-63.0,18.0,-7.764808362369338,0.9776724143882616,6,750,574,1268
19,4,219,500,Centipede-v0,0.0,4700.0,979.4128919860627,0.4262610463967932,11,750,574,1879
19,4,220,500,Asteroids-v0,0.0,1080.0,108.7979094076655,0.21688952829171698,6,750,574,692
19,4,221,500,Bowling-v0,0.0,26.0,0.078397212543554,0.004746556341303058,6,750,574,530
19,4,222,500,BankHeist-v0,0.0,70.0,1.0104529616724738,0.030276454368042216,6,750,574,2500
19,4,223,500,BattleZone-v0,0.0,10000.0,135.8885017421603,0.027317073170731697,6,750,574,2403
19,4,224,500,Freeway-v0,0.0,6.0,3.653310104529617,0.7686153052006681,6,750,574,130
19,4,225,500,FishingDerby-v0,-24.0,0.0,-18.837979094076655,0.4746795285413129,11,750,574,1759
20,5,226,500,FishingDerby-v0,-24.0,0.0,-18.716193656093488,0.48624765555761246,11,751,599,1759
20,5,227,500,BankHeist-v0,0.0,70.0,1.1185308848080133,0.03358583277495749,6,751,599,2500
20,5,228,500,Hero-v0,0.0,2770.0,22.871452420701168,0.0076024419515836345,6,751,599,133
20,5,229,500,Freeway-v0,0.0,6.0,3.662771285475793,0.7741297223767987,6,751,599,130
20,5,230,500,Bowling-v0,0.0,26.0,0.10517529215358931,0.007261719345962316,6,751,599,530
20,5,231,500,DoubleDunk-v0,-4.0,2.0,-0.3672787979966611,0.900925410663856,6,751,599,190
20,5,232,500,Boxing-v0,-44.0,18.0,-7.035058430717863,0.9460914064389488,6,751,599,1268
20,5,233,500,BattleZone-v0,0.0,10000.0,96.8280467445743,0.020537933593025404,6,751,599,2403
20,5,234,500,Gravitar-v0,0.0,600.0,7.345575959933222,0.02221810012572394,6,751,599,1380
21,5,235,500,BankHeist-v0,0.0,70.0,0.9547738693467337,0.028411141117530198,6,751,597,2500
21,5,236,500,DoubleDunk-v0,-4.0,2.0,-0.39195979899497485,0.8964989556837607,6,751,597,190
21,5,237,500,BattleZone-v0,0.0,10000.0,92.12730318257957,0.018939140145170286,6,751,597,2403
21,5,238,500,Boxing-v0,-44.0,18.0,-7.613065326633166,0.9339099242309344,6,751,597,1268
21,5,239,500,Gravitar-v0,0.0,600.0,7.45393634840871,0.021899621564613194,6,751,597,1380
21,5,240,500,FishingDerby-v0,-24.0,0.0,-18.619765494137354,0.4921934776764435,11,751,597,1759
21,5,241,500,Freeway-v0,0.0,6.0,3.6666666666666665,0.7619992968960001,6,751,597,130
21,5,242,500,Hero-v0,0.0,2770.0,41.256281407035175,0.01366133223506865,6,751,597,133
21,5,243,500,Bowling-v0,0.0,26.0,0.09882747068676717,0.006775054320473726,6,751,597,530
22,5,244,500,Boxing-v0,-44.0,18.0,-7.037277147487845,0.9447239382561334,6,750,617,1268
22,5,245,500,Freeway-v0,0.0,6.0,3.6920583468395463,0.7686735898513293,6,750,617,130
22,5,246,500,BattleZone-v0,0.0,10000.0,95.62398703403565,0.019132000720331346,6,750,617,2403
22,5,247,500,DoubleDunk-v0,-4.0,2.0,-0.3565640194489465,0.9021750005002225,6,750,617,190
22,5,248,500,BankHeist-v0,0.0,70.0,0.8103727714748784,0.024167851905754194,6,750,617,2500
22,5,249,500,Gravitar-v0,0.0,600.0,4.943273905996758,0.01402645216799728,6,750,617,1380
22,5,250,500,Bowling-v0,0.0,26.0,0.10696920583468396,0.007586921936753628,6,750,617,530
22,5,251,500,Hero-v0,0.0,2770.0,39.967585089141004,0.013203687114728043,6,750,617,133
22,5,252,500,FishingDerby-v0,-24.0,0.0,-18.573743922204216,0.49577805790663215,11,750,617,1759
23,5,253,500,BattleZone-v0,0.0,10000.0,113.7123745819398,0.023545150501672236,6,751,598,2403
23,5,254,500,Freeway-v0,0.0,6.0,3.6387959866220734,0.7643585614600082,6,751,598,130
23,5,255,500,Hero-v0,0.0,2770.0,32.17391304347826,0.010588027603304975,6,751,598,133
23,5,256,500,Boxing-v0,-44.0,18.0,-7.088628762541806,0.9392869668850292,6,751,598,1268
23,5,257,500,BankHeist-v0,0.0,70.0,0.9531772575250836,0.027028871749368636,6,751,598,2500
23,5,258,500,Bowling-v0,0.0,26.0,0.08528428093645485,0.005505971032083715,6,751,598,530
23,5,259,500,Gravitar-v0,0.0,600.0,3.762541806020067,0.010838597795119535,6,751,598,1380
23,5,260,500,DoubleDunk-v0,-4.0,2.0,-0.36789297658862874,0.8994591023576451,6,751,598,190
23,5,261,500,FishingDerby-v0,-24.0,0.0,-18.61705685618729,0.4944619926503939,11,751,598,1759
24,5,262,500,Hero-v0,0.0,2770.0,53.5609756097561,0.017597531725207564,6,750,615,133
24,5,263,500,Gravitar-v0,0.0,600.0,4.715447154471545,0.013811101073973703,6,750,615,1380
24,5,264,500,Boxing-v0,-46.0,18.0,-6.725203252032521,0.9531687556458903,6,750,615,1268
24,5,265,500,Bowling-v0,0.0,26.0,0.08455284552845528,0.005353773458839125,6,750,615,530
24,5,266,500,BattleZone-v0,0.0,10000.0,126.82926829268293,0.025958446251129166,6,750,615,2403
