tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
188,40.00283371322685,Boxing-v0,-100.0,38.0,15.886821705426366,24,16052,303,219
189,40.23279379016823,Boxing-v0,-100.0,38.0,14.308980213089797,24,16052,297,218
190,40.46303559674157,Boxing-v0,-100.0,38.0,12.854740061162088,24,16052,296,217
191,40.666705943478476,Boxing-v0,-100.0,38.0,15.384024577572967,24,16052,299,215
192,40.90045457084974,Boxing-v0,-100.0,38.0,13.58759689922481,24,16052,299,215
193,41.10439434422387,Boxing-v0,-100.0,38.0,13.72713178294573,24,16052,301,214
194,41.30288946761026,Boxing-v0,-100.0,38.0,12.76323987538941,24,16052,304,219
195,41.535471552676626,Boxing-v0,-100.0,38.0,15.280060882800598,24,16052,298,219
196,41.7472529380189,Boxing-v0,-100.0,38.0,15.39573820395738,24,16052,296,211
197,41.958268438511425,Boxing-v0,-100.0,38.0,17.216429699842013,24,16052,300,217
198,42.20315500424968,Boxing-v0,-54.0,38.0,16.301075268817208,24,16052,303,213
199,42.436531634926794,Boxing-v0,-100.0,38.0,14.381846635367769,24,16052,324,217
200,42.69406157182323,Boxing-v0,-100.0,38.0,13.606758832565282,24,16052,321,227
201,42.90133004632261,Boxing-v0,-100.0,38.0,13.762114537444932,24,16052,307,212
202,43.10931447777483,Boxing-v0,-100.0,38.0,15.163522012578607,24,16052,307,222
203,43.34728344400724,Boxing-v0,-100.0,38.0,15.177177177177182,24,16052,310,213
204,43.590809971491495,Boxing-v0,-100.0,38.0,14.52738654147104,24,16052,303,221
205,43.82777815586991,Boxing-v0,-68.66666666666667,38.0,16.763197586726992,24,16052,304,211
206,44.05259808156225,Boxing-v0,-100.0,38.0,16.859399684044245,24,16052,312,220
207,44.2813257620732,Boxing-v0,-100.0,38.0,12.31666666666666,24,16052,312,220
208,44.519524918198584,Boxing-v0,-100.0,38.0,13.921212121212115,24,16052,306,220
209,44.737832851145,Boxing-v0,-54.0,38.0,14.471212121212123,24,16052,310,217
210,44.953258568843204,Boxing-v0,-100.0,38.0,14.728110599078342,24,16052,305,219
211,45.18155654403898,Boxing-v0,-100.0,38.0,14.929984779299856,24,16052,303,214
212,45.38646696031093,Boxing-v0,-100.0,38.0,14.56230529595015,24,16052,302,215
213,45.600497150950964,Boxing-v0,-100.0,38.0,14.810852713178294,24,16052,300,215
214,45.819495542380544,Boxing-v0,-54.0,38.0,14.035658914728673,24,16052,310,215
215,46.06834778885047,Boxing-v0,-100.0,38.0,12.722480620155043,24,16052,302,222
